TRACTFIPS,city,state
01001020100,Prattville,AL
01001020200,Prattville,AL
01001020300,Prattville,AL
01001020400,Prattville,AL
01001020500,Prattville,AL
01001020600,Prattville,AL
01001020700,Prattville,AL
01001020801,Prattville,AL
01001020802,Prattville,AL
01001020900,Deatsville,AL
01001021000,Prattville,AL
01001021100,Autaugaville,AL
01003010100,Stockton,AL
01003010200,Bay Minette,AL
01003010300,Bay Minette,AL
01003010400,Bay Minette,AL
01003010500,Bay Minette,AL
01003010600,Bay Minette,AL
01003010701,Spanish Fort,AL
01003010703,Daphne,AL
01003010704,Daphne,AL
01003010705,Daphne,AL
01003010800,Daphne,AL
01003010903,Loxley,AL
01003010904,Robertsdale,AL
01003010905,Silverhill,AL
01003010906,Robertsdale,AL
01003011000,Summerdale,AL
01003011101,Fairhope,AL
01003011102,Fairhope,AL
01003011201,Fairhope,AL
01003011202,Fairhope,AL
01003011300,Fairhope,AL
01003011401,Foley,AL
01003011403,Gulf Shores,AL
01003011405,Orange Beach,AL
01003011406,Orange Beach,AL
01003011407,Gulf Shores,AL
01003011408,Gulf Shores,AL
01003011501,Foley,AL
01003011502,Foley,AL
01003011601,Elberta,AL
01003011602,Lillian,AL
01005950100,Eufaula,AL
01005950200,Clayton,AL
01005950300,Louisville,AL
01005950400,Clio,AL
01005950500,Eufaula,AL
01005950600,Eufaula,AL
01005950700,Eufaula,AL
01005950800,Eufaula,AL
01005950900,Eufaula,AL
01007010001,West Blocton,AL
01007010002,West Blocton,AL
01007010003,Centreville,AL
01007010004,Centreville,AL
01009050101,Oneonta,AL
01009050102,Oneonta,AL
01009050200,Cleveland,AL
01009050300,Altoona,AL
01009050400,Blountsville,AL
01009050500,Blountsville,AL
01009050601,Hayden,AL
01009050602,Warrior,AL
01009050700,Remlap,AL
01011952100,Midway,AL
01011952200,Union Springs,AL
01011952500,Union Springs,AL
01013952700,Greenville,AL
01013952800,Greenville,AL
01013952900,Greenville,AL
01013953000,Greenville,AL
01013953100,Greenville,AL
01013953200,Greenville,AL
01013953300,Georgiana,AL
01013953400,Georgiana,AL
01013953500,McKenzie,AL
01015000200,Anniston,AL
01015000300,Anniston,AL
01015000400,Anniston,AL
01015000500,Anniston,AL
01015000600,Anniston,AL
01015000700,Anniston,AL
01015000800,Anniston,AL
01015000900,Anniston,AL
01015001000,Anniston,AL
01015001100,Anniston,AL
